PSA-Nr.;Aufstellort;Bezirk/Gebiet;Abschnitt/-von;Abschnitt/-bis;Stellplätze;Roter Punkt;Gebuehrenzeit;Gebuehr je 15 Minuten;HPD/Std.;Tagesgebuehr;Tarifzone;GeoKoordinateNord;GeoKoordinateOst
143;Zülpicher Str. 193;Lindenthal Süd I;Gymnicher Str.;Weyertal;27;Lind-S I + Sülz-N I;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9243421;6,92824701
144;Zülpicher Str. 180;Lindenthal Süd I;Universitätsstr.;Gymnicher Str.;11;Lind-S I;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,9249381;6,9291388
145;freie Nummer (ehemals Aachener Str. 445);Hültzviertel;Fürst-Pückler Str.;Stadtwaldgürtel;10;;Mo-Sa 09:00 - 18:00;0,50 €;2;;500008;50,93693113;6,9047831
146;Aachener Str. 489;Hültzviertel;Kitschburger Str.;Fürst-Pückler Str.;25;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9368093;6,9047758
147;Jean-Claude-Letiste-Platz;Rathenauviertel;Lindenstr.;Händelstr.;19;RATH;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9341053;6,9363708
148;Hansaring 102 Insel;Eigelsteinviertel;Lübecker Straße;Eigelstein;16;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,94998509;6,95589772
149;Hansaring 55 Insel;Eigelsteinviertel;Am Kümpchenshof;Adolf-Fischer-Straße;47;EIGEL;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,937531;6,9602786
150;Reichensperger Platz 1;Agnesviertel II;Rondell;;23;;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,95434255;6,96276437
151;Stolkgasse 4;Gereonsviertel;Tunisstr.;Postzufahrt;10;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,94420394;6,95378682
152;Riehler Str.;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,937531;6,9602786
153;Riehler Str.;Nippes;An der Schanz;Frohngasse;24;;Mo-So 09:00 - 18:00;0,50 €;9;Ja;500107;50,937531;6,9602786
154;Viktor-Speier-Holstein-Str.;Mülheim;Genovevastraße;Clevischer Ring;13;KEUP;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,937531;6,9602786
