PSA-Nr.;Aufstellort;Bezirk/Gebiet;Abschnitt/-von;Abschnitt/-bis;Stellplätze;Roter Punkt;Gebuehrenzeit;Gebuehr je 15 Minuten;HPD/Std.;Tagesgebuehr;Tarifzone;GeoKoordinateNord;GeoKoordinateOst 
830;Thieboldsgasse 99;Griechenmarktviertel;Spinnmühlengasse;Bobstr.;12;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,935439;6,9476576
831;Thieboldsgasse 92;Griechenmarktviertel;Bayardsgasse;Alexianerstr.;20;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,935439;6,9476576
832;Weyerstr. 33;Griechenmarktviertel;Huhnsgasse;Gr Telegaphenstr.;31;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,935439;6,9476576
833;Weyerstr. 74;Griechenmarktviertel;Huhnsgasse;Gr Telegaphenstr.;30;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,935439;6,9476576
834;Weseler Straße 11;Nippes;;;16;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;4;;500059;50,935439;6,9476576
835;Mauenheimer Straße 79;Nippes;Gocher Straße;Merheimer Straße;12;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;4;;500059;50,935439;6,9476576
836;Mauenheimer Straße 95;Nippes;Gocher Straße;Merheimer Straße;11;NIPPES I;Mo-Fr 09:00 - 21:00 + Sa 10:00 - 15:00;0,50 €;4;;500059;50,935439;6,9476576
837;Haselnußweg 23;Chorweiler;Haselnußweg;Haselnußweg (Parkplatz);10;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;51,01086079;6,90610091
838;Siegburger Str. 308;Porz;Im Gartenhof;Jakob-Kneip-Str.;7;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,935439;6,9476576
839;Mauritiuswall 72;Griechenmarktviertel;Schaafenstr.;Rubensstr.;32;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93409065;6,94083835
840;An der Münze 15;Nördliche Neustadt;Theodor-Heuss-Ring;Wörthstr.;28;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95218763;6,96552685
841;An der Münze 8;Nördliche Neustadt;Theodor-Heuss-Ring;Wörthstr.;23;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9340986;6,940867
842;Belfortstr. 9;Nördliche Neustadt;Clever Straße;Riehler Straße;23;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95266241;6,96361063
843;Belfortstr. 12;Nördliche Neustadt;Clever Straße;Riehler Straße;23;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95293;6,96392
844;Clever Str. 11;Nördliche Neustadt;Theodor-Heuss-R.;Theodor-Heuss-R.;39;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95293;6,96392
845;Clever Str. ggü. 15;Nördliche Neustadt;Theodor-Heuss-Ring;Sedanstraße;11;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95293;6,96392
846;Clever Str. 13;Nördliche Neustadt;Sedanstraße;Theodor-Heuss-Ring;7;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95293;6,96392
847;Clever Str. 20;Nördliche Neustadt;Sedanstraße;Wörthstraße;20;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95189493;6,96422755
848;Clever Str. 33;Nördliche Neustadt;Wörthstraße;Sedanstraße;15;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9523;6,9646
849;Clever Str.;Nördliche Neustadt;Wörthstraße;Riehler Straße;28;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9523;6,9646
850;Clever Str.;Nördliche Neustadt;Riehler Straße;Wörthstraße;18;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9515736;6,9640021
851;Mevissenstr. 2 a;Nördliche Neustadt;Konrad-Adenauer-Ufer;Clever Straße;35;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95351;6,96697
852;Mevissenstr. 14;Nördliche Neustadt;Konrad-Adenauer-Ufer;Clever Straße;30;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,953;6,96779
853;Oppenheimstr. 18;Nördliche Neustadt;Konrad-Adenauer-Ufer;Riehler Straße;19;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9539986;6,9689857
854;Oppenheimstr. 11;Nördliche Neustadt;Konrad-Adenauer-Ufer;Riehler Straße;15;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9538753;6,9693338
855;Oppenheimstr. 10;Nördliche Neustadt;Konrad-Adenauer-Ufer;Riehler Straße;22;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,954258;6,9692094
856;Konrad-Adenauer-Ufer ggü. 83;lrh. ohne BWP;Theodor-Heuss-Ring;E.-Brandström-Str.;10;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95101512;6,96714252
857;Konrad-Adenauer-Ufer ggü. 101;lrh. ohne BWP;Theodor-Heuss-Ring;E.-Brandström-Str.;10;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,952707;6,9689153
858;Konrad-Adenauer-Ufer ggü. 85;lrh. ohne BWP;Theodor-Heuss-Ring;E.-Brandström-Str.;14;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,949246;6,9652736
859;Riehler Str. 26;Nördliche Neustadt;Sedanstraße;Belfortstraße;13;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9528505;6,962326
860;Sedanstr. 16;Nördliche Neustadt;Riehler Straße;Clever Straße;15;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95156972;6,96385245
861;Sedanstr. 8;Nördliche Neustadt;Riehler Straße;Clever Straße;24;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9518075;6,9623009
862;Sedanstr. 29;Nördliche Neustadt;Clever Straße;Theodor-Heuss-Ring;9;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9518075;6,9623009
863;Sedanstr. 33;Nördliche Neustadt;Theodor-Heuss-Ring;Clever Straße;11;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9509097;6,9654802
864;Theodor-Heuss-Ring 21;Nördliche Neustadt;Konrad-Adenauer-Ufer;Clever Straße;14;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95081483;6,96371523
865;Theodor-Heuss-Ring 23;Nördliche Neustadt;Sedanstr.;Clever Straße;28;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9507952;6,9650892
866;Theodor-Heuss-Ring 19-21;Nördliche Neustadt;Konrad-Adenauer-Ufer;Clever Straße;21;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9507952;6,9650892
867;Theodor-Heuss-Ring 11;Nördliche Neustadt;Clever Straße;Riehler Straße;56;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9507952;6,9650892
868;Theodor-Heuss-Ring 9;Nördliche Neustadt;Clever Straße;Riehler Straße;58;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,95095631;6,96166775
869;Worringer Str. 4-8;Nördliche Neustadt;Konrad-Adenauer-Ufer;Riehler Straße;22;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9507952;6,9650892
870;Worringer Str. 21;Nördliche Neustadt;Konrad-Adenauer-Ufer;Riehler Straße;24;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9507952;6,9650892
871;Wörthstr. 32;Nördliche Neustadt;Clever Straße;Konrad-Adenauer-Ufer;41;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9507952;6,9650892
872;Wörthstr. 7;Nördliche Neustadt;Konrad-Adenauer-Ufer;Clever Straße;22;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9507952;6,9650892
873;Wörthstr. 17;Nördliche Neustadt;Konrad-Adenauer-Ufer;Clever Straße;23;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9526871;6,9661439
874;Wörthstr. 10;Nördliche Neustadt;Riehler Straße;Clever Straße;25;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9526871;6,9661439
875;Wörthstr. 1;Nördliche Neustadt;Clever Straße;Riehler Straße;25;NORD;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9532446;6,9642672
876;An der Bastion 11/13;Deutz I;Gotenring;Hasertstr.;12;DEUTZ I;Mo-So 09:00 - 23:00;1,00 €;3;;500065;50,93265831;6,9748042
877;Hermann-Pünder-Str.;Deutz;Kennedy-Ufer;Hyatt;14;DEUTZ I;Mo-So 09:00 - 23:00;0,50 €;14;Ja;500101;50,93983601;6,97006881
878;Hermann-Pünder-Str. 3;Deutz;Mindener Str.;Kennedy-Ufer;14;DEUTZ I;Mo-So 09:00 - 23:00;0,50 €;14;Ja;500101;50,93990362;6,97084129
879;Kennedy-Ufer 2;Deutz;Messeplatz;Anlieferung Hyatt;17;DEUTZ I;Mo-So 09:00 - 23:00;1,00 €;14;;500064;50,939851;6,96984619
880;Dellbrücker Hauptstr. 73;Mülheim;Kemperbachstraße;Im Wieschen;4;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,9749005;7,0741653
881;freie Nummer (ehemals Am Hof 30);City/Martinsviertel;Unter Goldschmied;Unter Taschenmacher;7;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93985;6,95848
882;Brückenstr. 19;City/Martinsviertel;Ludwigstr.;Kolumbastr.;7;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93829;6,95462
883;freie Nummer (ehemals Bürgerstr. 8);City/Martinsviertel;Kleine Budengasse;Rathausplatz;10;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93876;6,95927
884;freie Nummer (ehemals Große Budengasse 13);City/Martinsviertel;Marspfortengasse;Unter Goldschmied;6;CITY;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,93914;6,95712
885;Filzengraben 28;Georgsviertel;Filzengraben;Gr. Witschgasse;6;GEO;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9337736;6,9622096
886;Hohe Pforte 6;Georgsviertel;Blaubach;Stephanstr.;13;GEO;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9335889;6,95633935
887;Sternengasse 1;Georgsviertel;Hohe Pforte;Krummer Büchel;19;GEO;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9339722;6,955524
888;Agrippastr. 85;Griechenmarktviertel;Peterstr.;Kämmergasse;13;GRI;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,933069;6,951405
889;Zülpicher Wall 48 (LM 9);Rathenauviertel;Bachemer Str.;Zülpicher Str.;21;RATH;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,94565;6,94139
890;Zülpicher Wall 48 (LM5);Rathenauviertel;Bachemer Str.;Zülpicher Str.;81;RATH;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,94565;6,94139
891;Zülpicher Wall 48;Rathenauviertel;Bachemer Str.;Zülpicher Str.;86;RATH;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,94565;6,94139
892;Zülpicher Wall 16;Rathenauviertel;Bachemer Str.;Zülpicher Str.;82;RATH;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,94565;6,94139
893;Brabanter Str. 2;Belgisches Viertel;Aachener Str.;Lütticher Str.;9;BELG;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,94565;6,94139
894;Gereonswall 110;Eigelsteinviertel;Gereonsmühlengasse;Adolf-Fischer-Straße;22;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9458203;6,9470595
895;Am Alten Ufer 49;Kunibertsviertel;Machabäerstr.;Servasgasse;32;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,944917;6,9621343
896;Am Weidenbach 6 ggü. FA;Pantaleonsviertel;Am Pantaleonsberg;Rothgerberbach;14;;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,92899501;6,94669058
897;Friedrichstr. 5;Pantaleonsviertel;Pantaleonsmühlengasse;Am Weidenbach;29;PAN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,8837019;7,0603814
898;Vorgebirgstraße ggü. 35;Südliche Neustadt II;Volksgartenstr.;Vorgebirgswall;20;SÜD II;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,92026284;6,95068214
899;Kennedy-Ufer 2;Deutz;Unterführung Hyatt;Hermann-Pünder-Str.;14;DEUTZ I;Mo-So 09:00 - 23:00;0,50 €;14;Ja;500101;50,9396799;6,9695529
900;Gereonstr. 2;Gereonsviertel;Börsenplatz;Klingelpütz;0;GER;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9427082;6,9504796
901;Mainzer Str. 77;Südliche Neustadt II;Teutoburger Str.;Alteburgerstr.;7;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9169607;6,9652881
902;Goltsteinstr. 124;Rodenkirchen;Cäsarstr.;Hölderlinstr.;14;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,90741;6,97016
903;An der Alten Post;Weiden-Süd;Ostlandstr.;Aachener Str.;4;Weiden-S;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,93583131;6,83317759
904;Höninger Platz 27-29;Rodenkirchen;Höninger Weg;Markusstr.;11;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 14:00;0,50 €;4;;500012;50,90031;6,94535
905;Frankfurter Str. 702;Kalk;Rösrather Str.;Rösrather Str.;21;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,8977256;7,077872
906;Frankfurter Str. 703;Kalk;Zehnthofstr.;Zehnthofstr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,8975435;7,0777982
907;Venloer Str. 274;Ehrenfeld;Körnerstr.;Wahlenstr.;5;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,9480097;6,92108095
908;Venloer Str. 323;Ehrenfeld;Keplerstr.;Neptunstr.;11;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,94868957;6,91923224
909;Eifelwall ggü. 36;Südbahnhof;Luxemburger Str.;Gabelsbergerstraße;15;SBF + SÜD I;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,937531;6,9602786
910;Venloer Str. 257;Ehrenfeld;Klarastr.;Philippstr.;3;;Mo-Sa 09:00 - 21:00;0,50 €;2;;500015;50,94709143;6,92311833
911;Florenzer Str. 8-12;Chorweiler;Florenzer Str.;Florenzer Str.;28;;Mo-Fr 09:00 - 20:00 + Sa 09:00 - 16:00;0,50 €;4;;500024;51,02163;6,89587
912;Florenzer Str. 32;Chorweiler;Athener Ring;Lyoner Passage;12;;Mo-Fr 09:00 - 20:00 + Sa 09:00 - 16:00;0,50 €;4;;500024;51,02327;6,89674
913;Liverpooler Platz 1;Chorweiler;Liverpooler Pl. 5;Londoner Platz;17;;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;51,020884;6,8973347
914;freie Nummer (ehemals Liverpooler Platz);Chorweiler;Zufahrt Platzinnenfläche;Pariser Platz;34;;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;51,0209207;6,8976771
915;Bergisch Gladbacher Str. 582;Mülheim;Maria Himmelfahrt Str.;Rodstraße;14;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,96960718;7,04513047
916;Bergisch Gladbacher Str. 575;Mülheim;Rodfeldstr.;Schnellweider Str.;20;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,970039;7,046017
917;Bergisch Gladbacher Str. 595;Mülheim;Rodfeldstr.;Schnellweider Str.;20;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,970039;7,046017
918;Bergisch Gladbacher Str. 609;Mülheim;Rodfeldstr.;Schnellweider Str.;21;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9708922;7,0482464
919;Unter Krahnenbäumen 35;Kunibertsviertel;Domstr.;Turinger Straße;9;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9474741;6,9592464
920;Niederichstr. 9;Kunibertsviertel;Dagobertstr.;Thürmchenswall;18;KUN;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9487576;6,9634526
921;Niederichstr. 8;Kunibertsviertel;Thürmchenswall;Theod.-Heuß-Ring;25;KUN;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9482818;6,9634071
922;Niederichstr. 36;Kunibertsviertel;Thürmchenswall;Dagobertstr.;20;KUN;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9494366;6,9643326
923;Theodor-Heuss-Ring 58;Kunibertsviertel;Niederichstr.;Konrad-Adenauer-Ufer;24;KUN;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9543426;6,9644662
924;Riehler Str. 86;Nördliche Neustadt;Clever Str.;Worringer Str.;10;;Mo-Sa 09:00 - 18:00;0,50 €;9;Ja;500100;50,9550953;6,967292
925;Enggasse 2;Gereonsviertel;Stolkgasse;Tunisstr.;7;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,94312605;6,95334848
926;Elstergasse 3;Nördlich Neumarkt;Tunisstr.;Auf der Ruhr;6;;Mo-Sa 08:00 - 18:00;1,00 €;0;;500039;50,93996;6,95269
927;Adamsstr. 15;Mülheim;Buchheimer Str.;Seidenstr.;8;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 13:00;0,50 €;4;;500010;50,8925916;6,991158
928;Regentenstr. 7;Mülheim;Gymnasiumstr.;Buchheimer Str;10;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 13:00;0,50 €;4;;500010;50,9639142;7,0022696
929;Longericher Hauptstr. 63;Nippes;Dionysstr.;Grethenstr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9971264;6,9067346
930;Am Duffesbach 35;Südliche Neustadt I;Eifelplatz;Burgunderstr.;10;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9248303;6,9443717
931;Hardefuststr. 14;Südliche Neustadt I;Volksgartenstr.;Lothringer Str.;20;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9234394;6,9473602
932;Kleingedankstr. 7;Südliche Neustadt I;Volksgartenstr.;An der Pauluskirche;18;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9221767;6,9499903
933;Moselstr. 4;Südliche Neustadt I;Pfälzer Str.;Luxemburger Str.;35;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9221767;6,9499903
934;Overstolzenstr. 16;Südliche Neustadt I;Volksgartenstr.;Lothringer Str.;30;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9227237;6,9483792
935;Pfälzer Str. 6;Südliche Neustadt I;Eifelplatz;Saarstraße;30;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9247947;6,943473
936;Saarstr. 18;Südliche Neustadt I;Am Duffesbach;Pfälzer Str.;8;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9247947;6,943473
937;Salierring 11;Südliche Neustadt I;Am Duffesbach;Eifelstraße;4;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9264713;6,9455035
938;Trierer Str. 37;Südliche Neustadt I;Burgunderstr.;Salierring;28;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9275874;6,9426781
939;Volksgartenstr. 50;Südliche Neustadt I;Overstolzenstraße;Hardefuststr.;40;SÜD I;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,92257856;6,9477562
940;Volksgartenstr. 38;Südliche Neustadt I;Vorgebirgstraße;Kleingedankstr.;45;SÜD I;Mo-Sa 09:00 - 23:00;0,50 €;14;Ja;500110;50,92152415;6,95023297
941;Stolzestr. 7;Südbahnhof;Luxemburger Str.;Gabelsbergerstr.;52;SBF;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,92514598;6,93888563
942;Dreikönigenstr. 4;Severinsviertel;Im Ferkulum;Annostr.;12;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9226557;6,947904
943;Dreikönigenstr. 19;Severinsviertel;Zwirnerstr.;Annostr.;30;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9226557;6,947904
944;An St. Katharinen 10;Severinsviertel;Im Sionstal;Arnold-von-Siegen-Str.;15;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9226557;6,947904
945;An St. Katharinen 12;Severinsviertel;Im Sionstal;Achterstr.;8;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9226557;6,947904
946;Spielmannsgasse 4-10;Severinsviertel;Severinstr.;Arnold-von-Siegen-Str.;8;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9226557;6,947904
947;Jakobstr. 10;Severinsviertel;Severinstr;Isabellenstr.;7;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9257127;6,9574312
948;Hirschgäßchen 1;Severinsviertel;An der Eiche;Severinstr.;4;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9226557;6,947904
949;Kartäuserwall 37;Severinsviertel;Kartäuserhof;Brunostr.;12;SEV;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9226557;6,947904
950;Berrenrather Str. ggü. 210;Sülz-Nord I;Nikolausplatz;Lotharstr.;11;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9194752;6,9264281
951;Neusser Str. 519;Nippes;Roßbachstr.;Theklastr.;9;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9226557;6,947904
952;Klingerstr. 2-6;Porz;Bahnhofstr.;Klingerstr. 11-15;6;;Mo-Fr 08:00 - 16:00;0,50 €;4;;500020;50,9226557;6,947904
953;Schillerstraße;Weiden-Nord;Arndtstr.;Bahnstr.;41;Weiden-N;Mo-Sa 09:00 - 20:00;0,50 €;4;;500022;50,9081419;6,9671638
954;Severinstr. 37;Severinsviertel;An St. Magdalenen;Kartäuserhof;5;;Mo-Sa 09:00 - 20:00;1,00 €;4;;500017;50,9236109;6,9588229
955;Ewaldistr. 23;Agnesviertel I;Weißenburgstr.;Balthasarstraße;104;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9540277;6,9566965
956;Krefelder Wall 5;Agnesviertel I;Kasparstraße;Krefelder Straße;58;AGN I;Mo-Sa 09:00 - 18:00;1,00 €;4;;500001;50,9533111;6,9519344
957;Prälat-Otto-Müller-Platz 6;Agnesviertel I;Wevelinghovener Str.;Krefelder Wall;32;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9548839;6,9541608
958;Sudermanplatz 1;Agnesviertel I;Aquinostr.;Maybachstr.;9;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9506135;6,956314
959;Weißenburgstr. 19;Agnesviertel I;Neusser Straße;Melchiorstraße;12;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9542279;6,9564965
960;Wickrather Str. 1;Agnesviertel I;Bernh.-Letterhaus-Str.;Wevelinghovener Str.;38;AGN I;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,95419;6,95179
961;Hülchrather Str. 31;Agnesviertel II;Balthasarstr.;Riehler Straße;16;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9555222;6,9613592
962;Lupusstr. 23;Agnesviertel II;Neusser Platz;Balthasarstr.;44;AGN II;Mo-Sa 09:00 - 01:00;1,00 €;4;;500005;50,9530017;6,9590905
963;Neusser Wall 75;Agnesviertel II;Aduchtstr.;Lentstr.;57;AGN II;Mo-So 09:00 - 21:00;1,00 €;4;;500055;50,9563467;6,9648872
964;Landmannstr. 10;Ehrenfeld;Subbelrather Str.;Fridolinstr.;9;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 13:00;0,50 €;4;;500010;50,9563467;6,9648872
965;Landmannstr. 29;Ehrenfeld;Merkensstr.;Lenauplatz;9;;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 13:00;0,50 €;4;;500010;50,95643538;6,91907292
966;Auenweg;Deutz;Staatenhaus;Sachsenbergstr.;13;;Mo-So 09:00 - 23:00;1,00 €;5;;500069;;
967;Hauptstr. 64;Rodenkirchen;Frankstraße;Mittelstraße;8;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9563467;6,9648872
968;Markgrafenstraße;Mülheim;Clevischer Ring;Keupstraße;7;;Mo-Fr 09:00 - 18:00, Sa 09:00- 14:00;0,50 €;4;;500012;;
969;Evergerstr. 31;Mülheim;Leverkusener Str.;Paulinenhofstr.;7;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9563467;6,9648872
970;Paulinenhofstr. 5;Mülheim;Egimalstr.;Evergerstr.;5;;Mo-Sa 09:00 - 18:00;0,50 €;4;;500003;50,9563467;6,9648872
971;Montanusstr. 1;Mülheim;Rüdesheimer Str.;Frankfurter Str.;13;MÜLH;Mo-Sa 09:00 - 23:00;0,50 €;4;;500029;50,9563467;6,9648872
972;Stolberger Str. 11;Lindenthal;Elsenborner Str.;Oskar-Jäger-Str.;8;;Mo-Fr 08:00 - 16:00;0,50 €;4;;500020;50,9563467;6,9648872
973;Hahnenstr. 2;Nördlich Neumarkt;Neumarkt;Apostelnkloster;5;;Mo-Sa 12:00 - 20:00;1,00 €;4;;500043;50,93605;6,94539
974;Sülzgürtel (Mittelinsel in Höhe Anton-Antweiler-Str.);Sülz-Nord II;Münstereifeler Str.;Berrenrather Str.;30;Sülz-N II;Mo-Fr 09:00 - 18:00 + Sa 09:00 - 13:00;0,50 €;9;Ja;500119;;
975;Neuköllner Str. 2;Georgsviertel;Agrippastr.;Sternengasse;6;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9360442;6,9451645
976;Goldgasse A;Kunibertsviertel;Konrad-Adenauer-Ufer;Am Alten Ufer;5;;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9360442;6,9451645
977;Dagobertstr. 72;Kunibertsviertel;Unter Kahlenhausen;Kunibertskloster;5;KUN;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9360442;6,9451645
978;Bonner Str. 51;Südliche Neustadt II;Veledastr.;Teutoburger Str.;8;;Mo-Sa 11:00 - 23:00;1,00 €;4;;500049;50,9177014;6,9608324
979;Overstolzenstr. 11;Südliche Neustadt I;Volksgartenstr.;Lothringer Str.;30;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9360442;6,9451645
980;Hardefuststr. 6;Südliche Neustadt I;Volksgartenstr.;Lothringer Str.;19;SÜD I;Mo-Sa 09:00 - 23:00;1,00 €;4;;500002;50,9360442;6,9451645
981;Kartäuserwall 28;Severinsviertel;Ulrichgasse;Kartäuserhof;28;SEV;Mo-Sa 09:00 - 23:00;1,00 €;2;;500041;50,9239377;6,9544967
