,objectid,bezeichnung,nr_stadtbezirk,stadtteil,anzahl,bemerkung,x,y,type
309,327,Stolkgasse (Seniorenresidenz),1,Altstadt/Nord,1,Stolkgasse (Seniorenresidenz),6.953871866424224,50.943245371346976,disabled parking slot
310,328,Sudermannplatz,1,Neustadt/Nord,2,Sudermannplatz,6.955145470740385,50.95125084199847,disabled parking slot
311,329,Tempelstr. 41/43,1,Deutz,1,Tempelstr.,6.973186807365293,50.93490225103143,disabled parking slot
312,330,Teuteburger Str. 10,1,Neustadt/Süd,1,Teuteburger Str. 10,6.9614643264267,50.918521991801825,disabled parking slot
313,331,Thieboldsgasse/Lungengasse,1,Altstadt/Süd,2,Thieboldsgasse/Lungengasse,6.947657000876527,50.934831494681085,disabled parking slot
314,333,Weyerstr. 40-42,1,Altstadt/Süd,2,Weyerstr. 40-42,6.94544283901786,50.93036287728733,disabled parking slot
315,334,Zeughausstr. (vor Stadtmuseum),1,Altstadt/Nord,2,Zeughausstr. (vor Stadtmuseum),6.950017623143683,50.94141029322324,disabled parking slot
316,335,Zugweg,1,Neustadt/Süd,2,Zugweg,6.956272953360477,50.91727970897139,disabled parking slot
317,336,Mauritiussteinweg 3-5,1,Altstadt/Süd,1,Mauritiussteinweg in Höhe Häusergrenze 3-5,6.946852150577678,50.93075556616795,disabled parking slot
318,337,Clarenbachstr. 180,3,Lindenthal,2,vor Clarenbachstr. 180 ,6.914688508843539,50.935916961648886,disabled parking slot
319,338,Berlin-Kölnische-Allee,2,Zollstock,1,Berlin-Kölnische-Allee,6.939416573012276,50.917567007076414,disabled parking slot
320,339,"Fronhofstr., Köln-Sürth",2,Sürth,1,"Fronhofstr., Köln-Sürth",7.007518537573034,50.8620068100813,disabled parking slot
321,340,Gottesweg (hinter Einm. Willigisstr.),2,Zollstock,1,Gottesweg (hinter Einm. Willigisstr.),6.942467313599726,50.91072652108137,disabled parking slot
322,341,Gustav-Radbruch-Str.,2,Rodenkirchen,2,Gustav-Radbruch-Str.,6.995404969261985,50.89248613315434,disabled parking slot
323,342,Kröverstr. 8,2,Zollstock,1,Kröverstr. 8,6.93976560413415,50.91321892610643,disabled parking slot
324,343,Oststr.,2,Rodenkirchen,2,Oststr.,6.9959488214547045,50.892628215050514,disabled parking slot
325,344,Oststr. (vor Einm. Barbarastr.),2,Rodenkirchen,1,Oststr. (vor Einm. Barbarastr.),6.996593757374662,50.893439262474566,disabled parking slot
